Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
affenpinscher,Germany,Toy,Monkey-like face,7,14,Small,High,1.5,Yes,8,Moderate,Low,4,6
afghan_hound,Afghanistan,Hound,Long silky coat,5,13,Large,Very High,2.0,No,4,High,Moderate,25,8
airedale,England,Terrier,Largest of terriers,8,12,Medium,High,2.0,Yes,7,Moderate,Low,21,6
akita,Japan,Working,Strong loyalty,6,11,Large,Moderate,2.0,With Training,7,High,High,45,9
malamute,Alaska USA,Working,Strong pulling ability,7,11,Large,High,3.0,Yes,6,Very High,Moderate,36,8
american_bulldog,USA,Working,Muscular build,8,11,Large,Low,2.0,Yes,6,Moderate,Moderate,42,7
eskimo_dog,USA,Non-Sporting,Pure white coat,9,14,Small-Medium,High,2.0,Yes,9,High,Low,12,5
american_foxhound,USA,Hound,Musical voice,8,12,Medium,Low,2.5,Yes,6,Moderate,Low,31,6
australian_cattle_dog,Australia,Herding,Unique blue or red coat,7,14,Medium,Moderate,2.5,Yes,9,Moderate,Low,15,7
australian_shepherd,USA,Herding,Merle coloring,8,14,Medium,High,2.5,Yes,9,High,Moderate,25,7
australian_terrier,Australia,Terrier,Small but tough,7,13,Small,Moderate,1.5,Yes,7,Low,Low,6.5,6
basenji,Central Africa,Hound,Doesn't bark,6,13,Small-Medium,Low,2.0,No,6,Low,Low,10,9
basset,France,Hound,Short legs long body,8,11,Medium,Low,1.0,Yes,5,Moderate,High,24,7
beagle,England,Hound,Excellent sense of smell,9,13,Small-Medium,Low,2.0,Yes,7,Moderate,Moderate,10,7
bearded_collie,Scotland,Herding,Long shaggy coat,8,13,Medium,Very High,2.0,Yes,8,High,Low,22,6
bernese_mountain_dog,Switzerland,Working,Tri-colored coat,9,8,Large,High,1.5,Yes,7,High,High,43,5
bichon_frise,Mediterranean,Non-Sporting,Cotton-like coat,9,13,Small,Very High,1.0,Yes,8,Low,Low,4,5
black_russian_terrier,Russia,Working,Black protective coat,7,11,Large,High,2.0,Yes,8,Moderate,Moderate,50,8
bloodhound,Belgium,Hound,Superior tracking ability,7,11,Large,Moderate,2.0,Yes,6,Moderate,High,43,8
border_collie,UK,Herding,Highest intelligence,8,13,Medium,High,3.0,Yes,10,Moderate,Low,17,6
border_terrier,UK,Terrier,Otter-like head,8,13,Small,Moderate,1.5,Yes,7,Moderate,Low,6,6
borzoi,Russia,Hound,Graceful build,6,11,Large,High,2.0,No,6,Moderate,Low,37,7
boston_bull,USA,Non-Sporting,Tuxedo-like markings,9,12,Small,Low,1.5,Yes,8,Low,Moderate,9,5
bouvier_des_flandres,Belgium,Herding,Beard and mustache,7,11,Large,Very High,2.0,Yes,8,High,Moderate,34,7
boxer,Germany,Working,Wrinkled forehead,9,11,Large,Low,2.0,Yes,7,Moderate,Moderate,28,6
briard,France,Herding,Long protective coat,7,12,Large,High,2.0,Yes,8,Moderate,Low,35,7
brittany_spaniel,France,Sporting,Bright orange coloring,8,13,Medium,Moderate,2.5,Yes,8,Moderate,Low,17,5
